Category,Subcategory,Item,Qty,Unit Cost (USD),Duration (Months),Subtotal (USD),Priority,Phase,Owner,Notes
Cloud Infra,Compute,AWS EC2 instance,1,12.00,3,36.00,Must-have,P1,,Shared pilot app server
Cloud Infra,Storage,EBS gp3 volume,1,6.00,3,18.00,Must-have,P1,,App + DB disk
Cloud Infra,Network,Public IPv4,1,3.60,3,10.80,Must-have,P1,,Static public IP
Cloud Infra,Backup,EBS snapshots,1,4.00,3,12.00,Must-have,P1,,Backup reserve
Cloud Infra,Data Transfer,Outbound bandwidth reserve,1,8.00,3,24.00,Must-have,P1,,Traffic headroom
Cloudflare,Edge Security,"WAF/rate-limit paid add-on (if used)",1,5.00,3,15.00,Nice-to-have,P1,,Optional reserve
Cloudflare,Website,"Pages/Workers paid tier (if needed)",1,5.00,3,15.00,Nice-to-have,P1,,Optional reserve
Data Platform,Object Storage,"AI image storage bucket (S3 or R2)",1,10.00,3,30.00,Must-have,P3,,Private image storage
Data Platform,Requests,Object storage operation reserve,1,5.00,3,15.00,Must-have,P3,,GET/PUT request reserve
Data Platform,Lifecycle,Tiering/archive reserve,1,4.00,3,12.00,Nice-to-have,P4,,For long retention optimization
Software,Landing Page,Final UI/content/assets completion,1,80.00,1,80.00,Must-have,P1,,Technical spend only
Software,Web App,"QA, bug bash, pilot hardening tools",1,25.00,3,75.00,Must-have,P2,,Tooling reserve
Software,Security,Testing tools/scanners/logging tools,1,20.00,3,60.00,Nice-to-have,P2,,Tooling reserve
AI Service,Integration,AI API deployment and integration infra,1,30.00,3,90.00,Must-have,P3,,AI path readiness
AI Service,Data Ops,Labeling/storage utilities,1,15.00,3,45.00,Nice-to-have,P4,,Dataset organization
Hardware,Standard Kit,Gateway kit for standard farm,2,300.00,1,600.00,Must-have,P2,,Pi4 + sensors + relays
Hardware,AI Kit,Gateway kit for AI farm,1,330.00,1,330.00,Must-have,P3,,Pi5 + AI HAT+ + camera
Hardware,Spare Parts,Sensors/relays/SD cards/cables reserve,1,170.00,1,170.00,Must-have,P2,,Failure replacement
Hardware,Enclosure & Power,"Cases, PSU, cooling, weather protection",3,33.33,1,99.99,Must-have,P2,,Per deployment set
R&D Testing,Bench Testing,Test consumables and replacements,1,120.00,1,120.00,Must-have,P2,,Hardware bench verification
R&D Testing,Field Testing,On-site test support materials,1,130.00,1,130.00,Must-have,P3,,Pilot validation materials
R&D Testing,Validation,Calibration and reliability tests,1,100.00,1,100.00,Must-have,P3,,Stability checks
Risk Buffer,Contingency,Technical contingency reserve (12%),1,250.53,1,250.53,Must-have,P1-P5,,12% of pre-contingency subtotal
